"","V1","V2","V3","V4"
"1",200,200,200,200
"2",161.290322580645,212.765957446808,285.714285714286,222.222222222222
"3",200,196.078431372549,250,204.081632653061
"4",181.818181818182,192.307692307692,212.765957446808,156.25
"5",204.081632653061,232.558139534884,217.391304347826,169.491525423729
"6",153.846153846154,196.078431372549,185.185185185185,156.25
"7",129.87012987013,125,126.582278481013,114.942528735632
