0.161,0.059,0.047,0.029,0.026
0.004,0.304,0.068,0.188,0.045
0.047,0.082,0.238,0.077,0.033
0.031,0.027,0.034,0.108,0.017
0.036,0.012,0.010,0.103,0.160
0.373,0.036,0.080,0.084,0.245
0.277,0.111,0.061,0.023,0.204
0.166,0.092,0.126,0.092,0.040
0.131,0.089,0.035,0.081,0.074
0.008,0.453,0.372,0.523,0.294
0.006,0.208,0.187,0.123,0.139
0.014,0.495,0.328,0.221,0.067
0.036,0.091,0.109,0.166,0.148
0.140,0.190,0.485,0.208,0.052
0.079,0.046,0.066,0.090,0.100
0.602,0.035,0.065,0.056,0.645
0.370,0.025,0.183,0.046,0.258
0.274,0.042,0.116,0.206,0.005
0.245,0.089,0.019,0.124,0.298
0.155,0.196,0.094,0.059,0.007
0.116,0.112,0.084,0.049,0.032
0.002,0.300,0.203,0.135,0.637
0.021,0.325,0.356,0.669,0.009
0.031,0.334,0.399,0.068,0.028
0.097,0.222,0.225,0.072,0.022
0.586,0.026,0.015,0.073,0.700
0.082,0.004,0.014,0.100,0.000
0.173,0.012,0.210,0.023,0.002
0.100,0.144,0.009,0.035,0.001
0.027,0.004,0.003,0.021,0.000
0.782,0.053,0.055,0.108,0.002
