0.084,0.013,0.015,0.018,0.015
0.012,0.011,0.811,0.011,0.010
0.013,0.014,0.029,0.012,0.010
0.014,0.014,0.015,0.084,0.015
0.012,0.010,0.013,0.013,0.005
0.329,0.054,0.010,0.009,0.013
0.319,0.008,0.100,0.011,0.013
0.297,0.011,0.013,0.302,0.011
0.331,0.005,0.011,0.009,0.018
0.011,0.059,0.121,0.009,0.011
0.013,0.054,0.010,0.326,0.010
0.012,0.057,0.012,0.009,0.025
0.008,0.010,0.101,0.322,0.012
0.008,0.009,0.133,0.010,0.021
0.009,0.009,0.009,0.331,0.017
0.337,0.057,0.131,0.011,0.011
0.337,0.059,0.011,0.331,0.009
0.323,0.060,0.010,0.013,0.025
0.329,0.007,0.126,0.339,0.008
0.332,0.013,0.131,0.010,0.021
0.327,0.011,0.009,0.342,0.023
0.008,0.070,0.133,0.336,0.008
0.012,0.059,0.128,0.011,0.021
0.012,0.059,0.009,0.331,0.027
0.013,0.012,0.122,0.332,0.023
0.332,0.057,0.125,0.339,0.013
0.337,0.059,0.124,0.013,0.024
0.338,0.058,0.011,0.335,0.020
0.336,0.008,0.125,0.334,0.019
0.010,0.058,0.132,0.330,0.022
0.341,0.061,0.127,0.346,0.024
